path	expected_sha256	observed_sha256	status
/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-preoracle-manifest-v3.tsv	6ed7f67f11d4d886edef3c39bf327cb7ae96e3b2bdd17517fe90b3145f3fa76c	6ed7f67f11d4d886edef3c39bf327cb7ae96e3b2bdd17517fe90b3145f3fa76c	PASS
/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-suite-freeze-v3.tsv	fc0b0b5c21449f945c886df10fb0a7ea80219dd92de856bd88d37825defa7ba7	fc0b0b5c21449f945c886df10fb0a7ea80219dd92de856bd88d37825defa7ba7	PASS
/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-role-capabilities-v3.tsv	bdb8b2ed03f9f83655c3505c73e53b85141a935f22c8238c76ec3fade5f6f876	bdb8b2ed03f9f83655c3505c73e53b85141a935f22c8238c76ec3fade5f6f876	PASS
/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-head-drift.tsv	c9660d1451f0dafdbc631cae2153266e8fa0085426d6935fa85e79246c6ad1a2	c9660d1451f0dafdbc631cae2153266e8fa0085426d6935fa85e79246c6ad1a2	PASS
/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-contract-freeze.tsv	7d8064a939e653961a084088e40353342de401908e7a8dcd0ba229e07489579d	7d8064a939e653961a084088e40353342de401908e7a8dcd0ba229e07489579d	PASS
/tmp/p1268/refiner/contract-v3.tsv	cb2aabaf36703bef3ef869f9a150ca8f38f5e596f1a8523c19016a283b024399	cb2aabaf36703bef3ef869f9a150ca8f38f5e596f1a8523c19016a283b024399	PASS
/tmp/p1268/refiner/unknown-v3.tsv	2ab6446d8b50c803240f19bde92ff55e121bc0f4a9793f8faeaecd80979b5530	2ab6446d8b50c803240f19bde92ff55e121bc0f4a9793f8faeaecd80979b5530	PASS
/tmp/p1268/refiner/observables-v3.tsv	e32a8b201a6625156e0416303892c23ce441957e09ecbde0bb3f459d966e969c	e32a8b201a6625156e0416303892c23ce441957e09ecbde0bb3f459d966e969c	PASS
/tmp/p1268/refiner/corrections.tsv	10d01447db10337639fb3d54429bd87648c8305ea4c00ea966f0dd30ed8a2e0f	10d01447db10337639fb3d54429bd87648c8305ea4c00ea966f0dd30ed8a2e0f	PASS
/tmp/p1268/refiner/receipt.tsv	ac8899037e70e9b5035c0c13a5ec7bf4a897a7a381889786b43febe36086debb	ac8899037e70e9b5035c0c13a5ec7bf4a897a7a381889786b43febe36086debb	PASS
/tmp/p1268/oracle_v3/runner.py	6471e5759d53569a8d52a0bb64290685d0f19487dd1619a92b083ea959158069	6471e5759d53569a8d52a0bb64290685d0f19487dd1619a92b083ea959158069	PASS
/tmp/p1268/oracle_v3/sources.tsv	76064c818a4a1a56fa6601b5ed451dc914adf3ebe1ccc5862d0472a37cd780c0	76064c818a4a1a56fa6601b5ed451dc914adf3ebe1ccc5862d0472a37cd780c0	PASS
/tmp/p1268/oracle_v3/positive.tsv	ae2a99d466263d6df581a107274878e3cc3c04f8db9c8a71249e6b5c6da5cfc5	ae2a99d466263d6df581a107274878e3cc3c04f8db9c8a71249e6b5c6da5cfc5	PASS
/tmp/p1268/oracle_v3/budgets.tsv	8b45e9145f72d252b74a96e11c566bc86a36fd7e3bd1802cf027b970a2556772	8b45e9145f72d252b74a96e11c566bc86a36fd7e3bd1802cf027b970a2556772	PASS
/tmp/p1268/oracle_v3/interval-cost.tsv	d007e2af176b2f6b4285306433d63102a68d4b814d2d63919407c37852d340e5	d007e2af176b2f6b4285306433d63102a68d4b814d2d63919407c37852d340e5	PASS
/tmp/p1268/oracle_v3/masks/manifest.tsv	e6572a92c61f3b576424a689dfb36bdbaa52a4260824902c0ab419e09c2214db	e6572a92c61f3b576424a689dfb36bdbaa52a4260824902c0ab419e09c2214db	PASS
/tmp/p1268/oracle_v3/landmarks.tsv	490675273bdfab44b477fdbd60abd6fc961ad9b711b7ef722895013ea2a01207	490675273bdfab44b477fdbd60abd6fc961ad9b711b7ef722895013ea2a01207	PASS
