source	source_sha256	destination	destination_sha256	status
/tmp/p1267r2/author/contract-v2.tsv	0ba5d409aa2784184c2604282abb85715e7c6edd00d151f07474c9fefaeb4ce8	00_nucleo/diagnosticos/p1267r2-author-contract-v2.tsv	0ba5d409aa2784184c2604282abb85715e7c6edd00d151f07474c9fefaeb4ce8	BYTE-IDENTICAL
/tmp/p1267r2/author/delta.tsv	0dd1a1513f709024ae1ab9fab95545d5489ddf437e835af586ec30af57787edc	00_nucleo/diagnosticos/p1267r2-author-delta.tsv	0dd1a1513f709024ae1ab9fab95545d5489ddf437e835af586ec30af57787edc	BYTE-IDENTICAL
/tmp/p1267r2/author/unknown-v2.tsv	afee37521719a849d359f0c1caeab132de532319a3c1dfa74af539e3be3deb76	00_nucleo/diagnosticos/p1267r2-author-unknown-v2.tsv	afee37521719a849d359f0c1caeab132de532319a3c1dfa74af539e3be3deb76	BYTE-IDENTICAL
/tmp/p1267r2/author/observables.tsv	6690eeae86985c65f39d132dd43cb615c267815340dc1c180fbe03c4bc27bb2e	00_nucleo/diagnosticos/p1267r2-author-observables.tsv	6690eeae86985c65f39d132dd43cb615c267815340dc1c180fbe03c4bc27bb2e	BYTE-IDENTICAL
/tmp/p1267r2/author/decisions.tsv	e3bff81420eaca854e3ae62ceb3a6c1ee3caf58d8b8138166bcf8cf3a1b97846	00_nucleo/diagnosticos/p1267r2-author-decisions.tsv	e3bff81420eaca854e3ae62ceb3a6c1ee3caf58d8b8138166bcf8cf3a1b97846	BYTE-IDENTICAL
/tmp/p1267r2/author/receipt.tsv	0e4330d62dbbf5dd964c1a41fcf44590e0277a654fb40ffc6275ea3d8cd1aa11	00_nucleo/diagnosticos/p1267r2-author-receipt.tsv	0e4330d62dbbf5dd964c1a41fcf44590e0277a654fb40ffc6275ea3d8cd1aa11	BYTE-IDENTICAL
/tmp/p1267r2/evidence/derivation.tsv	14601fbefb87b50bc69482ed8f62c1446842f32293ccf3ffe3afab0efb83fa5c	00_nucleo/diagnosticos/p1267r2-evidence-derivation.tsv	14601fbefb87b50bc69482ed8f62c1446842f32293ccf3ffe3afab0efb83fa5c	BYTE-IDENTICAL
/tmp/p1267r2/evidence/receipt.tsv	d7e5eb4212e34a3b6dcac6f77cc4ca9dbea43756402fa310105e90fd03affc89	00_nucleo/diagnosticos/p1267r2-evidence-receipt.tsv	d7e5eb4212e34a3b6dcac6f77cc4ca9dbea43756402fa310105e90fd03affc89	BYTE-IDENTICAL
/tmp/p1267r2/verifier/verdict.tsv	a9ced04fecaab28a04e2af0dfabdc7af9b7b2712ddc24143021accd590f74842	00_nucleo/diagnosticos/p1267r2-verifier-verdict.tsv	a9ced04fecaab28a04e2af0dfabdc7af9b7b2712ddc24143021accd590f74842	BYTE-IDENTICAL
/tmp/p1267r2/verifier/receipt.tsv	c31e6d1b3cfd1c271ba0942e2bbb61e69f219c9b40a5351ceca9c6343486db37	00_nucleo/diagnosticos/p1267r2-verifier-receipt.tsv	c31e6d1b3cfd1c271ba0942e2bbb61e69f219c9b40a5351ceca9c6343486db37	BYTE-IDENTICAL
META	post-verdict mechanical integration	META	performed by /root with apply_patch;no semantic edit;not part of the author/analyst/verifier isolation claim	RECORDED-LIMITATION
